Round,Date,Class,Session,Driver,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14
Round 6,2025-10-18,206/T4 Senior/Masters,Q,Cj Karnik,1:14.474,1:14.244,1:13.840,,,,,,,,,,,
Round 6,2025-10-18,206/T4 Senior/Masters,Q,Brandon Bell,1:11.483,1:10.797,1:10.322,,,,,,,,,,,
Round 6,2025-10-18,206/T4 Senior/Masters,Q,Galvin Dovgan,1:10.700,1:10.126,1:10.296,,,,,,,,,,,
Round 6,2025-10-18,206/T4 Senior/Masters,Q,James Stropko iv,1:09.947,1:09.872,1:10.058,,,,,,,,,,,
Round 6,2025-10-18,206/T4 Senior/Masters,Q,Blade Fountain,1:08.417,1:08.510,1:08.149,,,,,,,,,,,
Round 6,2025-10-18,206/T4 Senior/Masters,Q,Christopher Jones,1:12.725,1:11.796,1:11.138,,,,,,,,,,,
Round 6,2025-10-18,206 Junior,Q,Liam Sellery,1:12.250,1:11.476,,,,,,,,,,,,
Round 6,2025-10-18,206 Junior,Q,Gavin Patterson,1:10.284,1:09.993,1:09.709,,,,,,,,,,,
Round 6,2025-10-18,T4 Mini/Swift Mini,Q,Austin Harbaugh,1:19.449,1:16.107,1:26.005,,,,,,,,,,,
Round 6,2025-10-18,T4 Mini/Swift Mini,Q,Dominic Borelli,1:18.784,1:13.522,1:12.524,,,,,,,,,,,
Round 6,2025-10-18,T4 Junior,Q,Kristopher Mccrone,1:07.564,1:08.786,1:07.683,,,,,,,,,,,
Round 6,2025-10-18,T4 Junior,Q,Anna Mccrone,1:06.922,1:06.925,1:07.684,,,,,,,,,,,
Round 6,2025-10-18,T4 Junior,Q,Ashlyn Taylor,1:07.213,1:07.355,1:07.358,,,,,,,,,,,
Round 6,2025-10-18,T4 Junior,Q,Lucas Grucella,1:08.365,1:07.962,1:07.663,,,,,,,,,,,
Round 6,2025-10-18,T4 Junior,Q,Foster Smith,1:09.051,1:09.804,1:08.959,,,,,,,,,,,
Round 6,2025-10-18,2-Stroke,Q,William Richard,1:02.956,1:02.953,1:02.660,,,,,,,,,,,
Round 6,2025-10-18,2-Stroke,Q,Giovanni Blackerby,1:02.628,1:02.609,1:02.029,,,,,,,,,,,
Round 6,2025-10-18,2-Stroke,Q,Curtis Ziegler,1:11.300,1:10.102,1:10.313,,,,,,,,,,,
Round 6,2025-10-18,2-Stroke,Q,Remy Boss,1:09.563,1:08.576,1:08.790,,,,,,,,,,,
Round 6,2025-10-18,Kid Kart,H1,Remy Boss,1:29.009,1:29.471,1:28.829,1:27.620,1:28.124,,,,,,,,,
Round 6,2025-10-18,Kid Kart,H1,Gunner Surace,1:50.157,2:05.369,1:42.655,1:41.949,1:41.387,,,,,,,,,
Round 6,2025-10-18,206 Mini/Cadet,H1,Anthony Ciofani,1:13.142,1:10.622,1:11.036,1:10.523,1:10.904,1:10.525,1:10.788,1:11.070,,,,,,
Round 6,2025-10-18,206 Mini/Cadet,H1,Logan Pollack,1:13.040,1:10.767,1:10.924,1:10.489,1:11.041,1:10.794,1:10.777,1:10.659,,,,,,
Round 6,2025-10-18,206 Mini/Cadet,H1,Aiden Harbaugh,1:14.978,1:11.545,1:11.508,1:12.017,1:11.320,1:11.564,1:11.614,1:11.772,,,,,,
Round 6,2025-10-18,206 Mini/Cadet,H1,Ashlyn Taylor,1:16.777,1:13.577,1:12.443,1:13.531,1:12.465,1:13.149,1:12.945,1:12.509,,,,,,
Round 6,2025-10-18,206 Mini/Cadet,H1,Mason Maki,1:16.390,1:13.361,1:12.464,1:13.686,1:12.619,1:12.993,1:12.965,1:12.467,,,,,,
Round 6,2025-10-18,206 Mini/Cadet,H1,Harrison Bell,1:13.691,1:11.452,1:11.312,1:11.466,1:11.773,1:11.473,1:11.295,1:11.533,,,,,,
Round 6,2025-10-18,206 Mini/Cadet,H1,Remy Boss,1:15.317,1:13.591,1:12.733,1:13.338,1:12.696,1:13.118,1:12.834,1:12.790,,,,,,
Round 6,2025-10-18,206 Mini/Cadet,H1,Grayson Miller,1:18.730,1:18.167,1:18.259,1:18.881,1:20.819,1:18.953,1:19.734,1:18.768,,,,,,
Round 6,2025-10-18,206 Mini/Cadet,H1,Weston Davis,1:19.361,1:18.106,1:18.717,1:18.858,1:20.591,1:19.164,1:19.707,1:18.093,,,,,,
Round 6,2025-10-18,206/T4 Seniors/Masters,H1,Blade Fountain,1:12.241,1:08.872,1:08.095,1:08.430,1:08.243,1:08.315,1:08.147,1:08.439,1:08.376,1:08.789,,,,
Round 6,2025-10-18,206/T4 Seniors/Masters,H1,James Stropko iv,1:12.144,1:10.083,1:09.894,1:09.862,1:09.913,1:09.929,1:10.040,1:09.835,1:09.930,1:09.983,,,,
Round 6,2025-10-18,206/T4 Seniors/Masters,H1,Galvin Dovgan,1:13.767,1:10.137,1:11.271,1:10.431,1:09.975,1:10.045,1:10.906,1:10.091,1:10.328,1:10.318,,,,
Round 6,2025-10-18,206/T4 Seniors/Masters,H1,Brandon Bell,1:14.010,1:10.337,1:10.597,1:10.616,1:10.473,1:10.351,1:11.848,1:11.211,1:10.268,1:10.895,,,,
Round 6,2025-10-18,206/T4 Seniors/Masters,H1,Christopher Jones,1:14.597,1:10.509,1:11.064,1:11.474,1:10.883,1:10.637,1:10.639,1:10.254,1:10.983,1:11.113,,,,
Round 6,2025-10-18,206/T4 Seniors/Masters,H1,Kyle Davis,1:14.003,1:10.435,1:10.860,1:10.429,1:10.664,1:10.308,1:11.439,1:10.722,1:10.518,1:10.985,,,,
Round 6,2025-10-18,206/T4 Seniors/Masters,H1,Alex Cullenen,1:15.813,1:11.799,1:11.153,1:10.914,1:10.913,1:10.837,1:10.900,1:11.224,1:11.004,1:10.713,,,,
Round 6,2025-10-18,206/T4 Seniors/Masters,H1,Robert Cottell,1:14.372,1:11.430,1:11.466,1:11.095,1:10.871,1:10.979,1:11.186,1:11.169,1:11.272,1:11.178,,,,
Round 6,2025-10-18,206/T4 Seniors/Masters,H1,Chad Karnik,1:20.391,1:14.525,1:13.357,1:13.212,1:13.400,1:12.646,1:13.523,1:13.734,1:13.598,,,,,
Round 6,2025-10-18,206/T4 Seniors/Masters,H1,Rocker Smith,1:16.841,1:13.765,1:13.940,1:13.887,1:13.994,1:14.100,1:13.917,1:13.801,1:13.790,1:13.622,,,,
Round 6,2025-10-18,206/T4 Seniors/Masters,H1,Cj Karnik,1:19.771,1:14.755,1:14.554,1:14.727,1:14.074,1:13.933,1:15.270,1:14.797,1:15.022,1:37.363,,,,
Round 6,2025-10-18,206/T4 Seniors/Masters,H1,Cameron Dovgan,1:19.430,1:14.022,1:14.087,1:13.576,1:13.530,1:13.400,1:13.500,1:13.616,1:13.289,,,,,
Round 6,2025-10-18,206/T4 Seniors/Masters,H1,Scott Smith,1:16.878,1:09.675,1:09.438,1:09.262,1:10.356,1:09.155,1:09.777,1:08.965,1:08.635,1:08.461,,,,
Round 6,2025-10-18,206 Junior,H1,Gavin Patterson,1:11.675,1:10.436,1:09.924,1:10.051,1:10.037,1:10.219,1:10.096,1:09.918,1:10.321,1:10.270,,,,
Round 6,2025-10-18,206 Junior,H1,Liam Sellery,1:13.586,1:11.976,1:11.888,1:11.371,1:11.620,1:11.385,1:11.611,1:10.994,1:11.309,1:11.129,,,,
Round 6,2025-10-18,T4 Mini/Swift Mini,H1,Remy Boss,1:11.736,1:09.148,1:09.368,1:09.690,1:08.660,1:09.829,1:08.709,1:08.381,,,,,,
Round 6,2025-10-18,T4 Mini/Swift Mini,H1,Dominic Borelli,1:14.941,1:13.009,1:12.852,1:16.318,1:15.283,1:15.113,1:15.256,1:13.670,,,,,,
Round 6,2025-10-18,T4 Mini/Swift Mini,H1,Austin Harbaugh,1:24.838,1:24.389,1:23.410,1:23.456,1:25.904,1:21.501,1:22.489,,,,,,,
Round 6,2025-10-18,T4 Junior,H1,Anna Mccrone,1:07.829,1:07.740,1:08.157,1:07.969,1:08.929,1:07.765,1:07.657,1:08.124,1:08.785,,,,,
Round 6,2025-10-18,T4 Junior,H1,Ashlyn Taylor,1:09.511,1:08.063,1:07.829,1:07.538,1:07.711,1:08.588,1:07.777,1:07.698,1:07.903,1:08.429,,,,
Round 6,2025-10-18,T4 Junior,H1,Kristopher Mccrone,1:08.556,1:08.025,1:07.832,1:07.668,1:08.064,1:07.653,1:07.638,1:07.779,1:08.125,1:07.624,,,,
Round 6,2025-10-18,T4 Junior,H1,Lucas Grucella,1:09.021,1:07.901,1:08.589,1:07.664,1:07.637,1:08.403,1:08.128,1:08.086,1:08.501,1:08.273,,,,
Round 6,2025-10-18,T4 Junior,H1,Foster Smith,1:10.477,,,,,,,,,,,,,
Round 6,2025-10-18,2-Stroke,H1,Giovanni Blackerby,1:05.412,1:02.238,1:02.467,1:02.348,1:02.938,1:02.909,1:03.027,1:02.289,1:02.231,1:02.153,,,,
Round 6,2025-10-18,2-Stroke,H1,William Richard,1:04.626,1:02.548,1:02.613,1:02.760,1:03.914,1:03.084,1:03.238,1:02.703,1:02.649,1:02.833,,,,
Round 6,2025-10-18,2-Stroke,H1,Curtis Ziegler,1:13.423,1:09.699,1:09.892,1:09.328,1:09.149,1:09.806,1:09.755,1:08.960,1:13.683,,,,,
Round 6,2025-10-18,2-Stroke,H1,Colin Schreiber,1:04.592,1:02.677,1:02.499,1:02.550,1:02.997,1:02.755,1:03.468,1:02.495,1:02.899,1:03.263,,,,
Round 6,2025-10-18,Kid Kart,H2,Remy Boss,1:27.054,1:28.122,1:27.013,1:29.580,,,,,,,,,,
Round 6,2025-10-18,Kid Kart,H2,Gunner Surace,1:45.796,1:53.109,,,,,,,,,,,,
Round 6,2025-10-18,206 Mini/Cadet,H2,Anthony Ciofani,1:17.523,1:10.814,1:11.971,1:11.066,1:10.590,1:11.417,,,,,,,,
Round 6,2025-10-18,206 Mini/Cadet,H2,Logan Pollack,1:17.477,1:10.812,1:12.126,1:12.139,1:11.095,1:11.707,,,,,,,,
Round 6,2025-10-18,206 Mini/Cadet,H2,Aiden Harbaugh,1:19.390,1:14.481,1:15.463,1:16.248,,,,,,,,,,
Round 6,2025-10-18,206 Mini/Cadet,H2,Ashlyn Taylor,1:19.389,1:14.499,1:15.919,1:16.024,1:15.774,1:15.690,,,,,,,,
Round 6,2025-10-18,206 Mini/Cadet,H2,Mason Maki,1:18.794,1:14.808,1:15.954,1:16.015,1:13.130,1:12.907,,,,,,,,
Round 6,2025-10-18,206 Mini/Cadet,H2,Harrison Bell,1:18.937,1:13.744,1:11.509,1:11.202,1:10.757,1:11.368,,,,,,,,
Round 6,2025-10-18,206 Mini/Cadet,H2,Remy Boss,1:15.209,1:12.803,1:12.816,1:12.395,1:12.028,1:11.834,,,,,,,,
Round 6,2025-10-18,206 Mini/Cadet,H2,Grayson Miller,1:20.243,1:16.208,1:17.207,1:16.718,1:19.804,1:26.042,,,,,,,,
Round 6,2025-10-18,206 Mini/Cadet,H2,Weston Davis,1:18.560,1:15.331,1:15.862,1:16.260,,,,,,,,,,
Round 6,2025-10-18,206/T4 Seniors/Masters,H2,Blade Fountain,1:15.791,1:10.714,1:10.540,1:08.530,1:08.549,1:08.031,1:08.646,1:08.342,,,,,,
Round 6,2025-10-18,206/T4 Seniors/Masters,H2,James Stropko iv,1:15.974,1:10.697,1:10.298,1:08.863,1:09.172,1:08.483,1:09.470,1:08.556,,,,,,
Round 6,2025-10-18,206/T4 Seniors/Masters,H2,Galvin Dovgan,1:16.029,1:10.780,1:11.196,1:10.127,1:10.254,1:09.761,1:10.192,1:10.265,,,,,,
Round 6,2025-10-18,206/T4 Seniors/Masters,H2,Brandon Bell,1:16.599,1:20.085,1:11.243,1:10.536,1:10.911,1:10.657,1:10.754,1:10.823,,,,,,
Round 6,2025-10-18,206/T4 Seniors/Masters,H2,Christopher Jones,1:16.335,1:18.534,1:12.185,1:10.815,1:12.465,1:11.856,1:11.451,1:11.569,,,,,,
Round 6,2025-10-18,206/T4 Seniors/Masters,H2,Kyle Davis,1:15.976,1:11.311,1:12.447,1:11.466,1:10.853,1:10.385,1:11.089,1:10.945,,,,,,
Round 6,2025-10-18,206/T4 Seniors/Masters,H2,Alex Cullenen,1:17.005,1:12.185,1:10.496,1:11.239,1:11.133,1:10.813,1:11.069,1:10.760,,,,,,
Round 6,2025-10-18,206/T4 Seniors/Masters,H2,Robert Cottell,1:16.626,1:21.698,1:14.260,1:11.874,1:11.194,1:11.793,1:12.118,1:11.714,,,,,,
Round 6,2025-10-18,206/T4 Seniors/Masters,H2,Chad Karnik,1:21.615,1:15.458,1:16.969,1:14.605,1:13.245,1:14.177,1:13.571,1:13.518,,,,,,
Round 6,2025-10-18,206/T4 Seniors/Masters,H2,Rocker Smith,1:19.381,1:14.907,1:18.233,1:13.823,1:14.015,1:13.999,1:13.396,1:14.008,,,,,,
Round 6,2025-10-18,206/T4 Seniors/Masters,H2,Cj Karnik,1:19.538,1:15.444,1:17.153,1:16.137,1:15.164,1:15.155,1:15.069,1:15.586,,,,,,
Round 6,2025-10-18,206/T4 Seniors/Masters,H2,Scott Smith,1:16.287,1:10.369,1:10.791,1:08.899,1:08.529,1:08.415,1:08.635,1:08.169,,,,,,
Round 6,2025-10-18,206 Junior,H2,Gavin Patterson,1:14.345,1:09.973,1:10.110,1:09.609,1:09.910,1:10.007,1:09.883,1:10.288,,,,,,
Round 6,2025-10-18,206 Junior,H2,Liam Sellery,1:12.932,1:11.681,1:11.820,1:11.957,1:11.612,1:11.701,1:11.503,,,,,,,
Round 6,2025-10-18,T4 Mini/Swift Mini,H2,Remy Boss,1:07.220,1:07.675,1:08.273,1:08.326,1:08.643,,,,,,,,,
Round 6,2025-10-18,T4 Mini/Swift Mini,H2,Dominic Borelli,1:15.007,1:15.557,1:15.437,1:15.060,,,,,,,,,,
Round 6,2025-10-18,T4 Mini/Swift Mini,H2,Austin Harbaugh,1:17.145,1:18.632,1:21.288,1:18.953,1:19.190,,,,,,,,,
Round 6,2025-10-18,T4 Junior,H2,Anna Mccrone,1:09.396,1:09.551,1:08.935,1:09.560,1:09.910,1:09.052,1:09.097,1:09.365,,,,,,
Round 6,2025-10-18,T4 Junior,H2,Ashlyn Taylor,1:09.578,1:09.701,1:09.106,1:09.251,1:09.902,1:09.501,1:08.886,1:08.821,,,,,,
Round 6,2025-10-18,T4 Junior,H2,Kristopher Mccrone,1:09.751,1:09.736,1:09.272,1:09.183,1:08.704,1:08.092,1:07.330,1:07.476,,,,,,
Round 6,2025-10-18,T4 Junior,H2,Lucas Grucella,1:26.650,1:08.406,1:09.657,1:08.386,1:08.098,1:08.263,1:08.060,1:08.248,,,,,,
Round 6,2025-10-18,T4 Junior,H2,Foster Smith,1:10.115,1:09.655,1:09.274,1:09.387,1:10.245,1:08.927,1:09.134,1:09.133,,,,,,
Round 6,2025-10-18,2-Stroke,H2,Giovanni Blackerby,1:03.621,1:01.874,1:01.657,1:01.576,1:01.376,1:01.652,1:01.193,1:01.265,,,,,,
Round 6,2025-10-18,2-Stroke,H2,William Richard,1:05.127,1:03.529,1:03.383,1:02.938,1:02.981,1:02.654,1:02.980,1:02.748,,,,,,
Round 6,2025-10-18,2-Stroke,H2,Curtis Ziegler,1:09.799,1:08.271,1:07.578,1:08.379,1:08.499,1:08.056,1:08.137,1:09.879,,,,,,
Round 6,2025-10-18,2-Stroke,H2,Colin Schreiber,1:04.260,,,,,,,,,,,,,
Round 6,2025-10-18,206 Mini/Cadet,F,Anthony Ciofani,1:12.386,1:10.717,1:10.518,1:10.416,1:10.636,1:10.682,1:10.697,1:10.597,,,,,,
Round 6,2025-10-18,206 Mini/Cadet,F,Logan Pollack,1:12.878,1:12.035,1:11.857,1:10.247,1:10.573,1:10.993,1:10.500,1:11.141,,,,,,
Round 6,2025-10-18,206 Mini/Cadet,F,Harrison Bell,1:12.818,1:11.734,1:11.885,1:10.417,1:10.644,1:10.990,1:10.265,1:11.328,,,,,,
Round 6,2025-10-18,206 Mini/Cadet,F,Mason Maki,1:14.014,1:11.729,1:12.281,1:12.288,1:12.503,1:12.619,1:12.734,1:12.903,,,,,,
Round 6,2025-10-18,206 Mini/Cadet,F,Aiden Harbaugh,1:14.264,1:11.949,1:12.133,1:12.167,1:12.732,1:12.646,1:12.653,1:13.282,,,,,,
Round 6,2025-10-18,206 Mini/Cadet,F,Ashlyn Taylor,1:14.666,1:12.160,1:12.222,1:12.369,1:12.254,1:11.785,1:12.675,1:13.132,,,,,,
Round 6,2025-10-18,206 Mini/Cadet,F,Weston Davis,1:18.479,1:18.598,1:18.318,1:19.147,1:20.012,1:16.758,1:16.103,1:15.433,,,,,,
Round 6,2025-10-18,206 Mini/Cadet,F,Grayson Miller,1:18.232,1:18.455,1:18.396,1:19.154,1:19.748,1:16.230,1:15.929,1:16.888,,,,,,
Round 6,2025-10-18,206/T4 Senior/Masters,F,Blade Fountain,1:11.813,1:08.904,1:07.956,1:08.050,1:07.826,1:07.818,1:07.953,1:08.289,1:08.028,1:08.086,,,,
Round 6,2025-10-18,206/T4 Senior/Masters,F,Scott Smith,1:14.816,1:09.336,1:08.969,1:08.239,1:08.216,1:08.489,1:07.900,1:08.329,1:08.454,1:08.816,,,,
Round 6,2025-10-18,206/T4 Senior/Masters,F,James Stropko iv,1:11.645,1:09.045,1:08.224,1:07.982,1:07.878,1:07.881,1:07.956,1:08.304,1:08.003,1:07.974,,,,
Round 6,2025-10-18,206/T4 Senior/Masters,F,Galvin Dovgan,1:12.745,1:10.265,1:09.614,1:10.107,1:09.814,1:09.967,1:10.220,1:10.022,1:10.386,1:11.476,,,,
Round 6,2025-10-18,206/T4 Senior/Masters,F,Kyle Davis,1:14.050,1:11.264,1:12.791,1:11.624,1:10.914,1:10.783,1:10.606,1:10.684,1:10.727,1:10.567,,,,
Round 6,2025-10-18,206/T4 Senior/Masters,F,Christopher Jones,1:13.628,1:11.125,1:13.406,1:11.850,1:19.836,1:11.804,1:11.606,1:11.610,1:11.814,1:11.976,,,,
Round 6,2025-10-18,206/T4 Senior/Masters,F,Alex Cullenen,1:14.415,1:11.055,1:12.732,1:12.083,1:10.988,1:10.792,1:11.108,1:11.701,1:11.232,1:11.159,,,,
Round 6,2025-10-18,206/T4 Senior/Masters,F,Robert Cottell,1:14.810,1:11.461,1:12.067,1:12.427,1:11.006,1:10.664,1:11.152,1:11.322,1:11.691,1:11.376,,,,
Round 6,2025-10-18,206/T4 Senior/Masters,F,Rocker Smith,1:16.791,1:12.488,1:13.344,1:13.301,1:14.449,1:13.019,1:13.094,1:13.609,1:13.278,1:13.639,,,,
Round 6,2025-10-18,206/T4 Senior/Masters,F,Chad Karnik,1:18.138,1:13.214,1:13.637,1:12.719,1:13.101,1:13.222,1:13.393,1:13.704,1:12.941,1:13.372,,,,
Round 6,2025-10-18,206/T4 Senior/Masters,F,Cj Karnik,1:18.040,1:15.030,1:15.327,1:15.236,1:15.308,1:14.534,1:15.188,1:15.832,1:14.522,1:14.627,,,,
Round 6,2025-10-18,T4/Swift Mini,F,Remy Boss,1:10.065,1:08.151,1:08.253,1:07.816,1:08.079,1:07.982,1:07.883,1:08.667,,,,,,
Round 6,2025-10-18,T4/Swift Mini,F,Dominic Borelli,1:16.680,1:13.317,1:13.405,1:13.285,1:17.125,1:14.003,1:13.839,1:13.594,,,,,,
Round 6,2025-10-18,T4/Swift Mini,F,Austin Harbaugh,1:18.498,1:17.639,1:18.938,1:18.736,1:19.103,1:18.289,1:20.995,,,,,,,
Round 6,2025-10-18,206/T4 Junior,F,Kristopher Mccrone,1:07.977,1:07.740,1:07.944,1:07.279,1:07.028,1:06.953,1:09.172,1:07.812,1:06.895,1:07.311,,,,
Round 6,2025-10-18,206/T4 Junior,F,Ashlyn Taylor,1:08.671,1:07.728,1:07.653,1:07.602,1:07.144,1:06.698,1:08.782,1:07.748,1:07.268,1:07.020,,,,
Round 6,2025-10-18,206/T4 Junior,F,Anna Mccrone,1:08.123,1:07.731,1:07.819,1:07.534,1:06.751,1:07.219,1:08.345,1:07.082,1:07.555,1:06.848,,,,
Round 6,2025-10-18,206/T4 Junior,F,Foster Smith,1:10.357,1:10.587,1:11.129,1:10.363,1:10.161,1:10.854,1:10.558,1:11.058,1:10.689,1:10.925,,,,
Round 6,2025-10-18,206/T4 Junior,F,Lucas Grucella,1:08.737,1:08.413,1:08.001,1:07.574,1:07.418,1:07.756,1:08.318,1:07.978,1:07.928,1:07.892,,,,
Round 6,2025-10-18,206/T4 Junior,F,Gavin Patterson,1:12.217,1:10.539,1:09.912,1:09.843,1:09.760,1:09.661,1:13.057,1:09.914,1:09.676,1:11.533,,,,
Round 6,2025-10-18,2-Stroke,F,Giovanni Blackerby,1:03.295,1:01.739,1:01.605,1:01.367,1:01.422,1:01.874,1:01.195,1:01.355,1:01.370,1:01.444,,,,
Round 6,2025-10-18,2-Stroke,F,William Richard,1:04.826,1:02.369,1:02.827,1:02.807,1:03.149,1:02.803,1:02.649,1:03.222,1:02.650,1:04.081,,,,
Round 6,2025-10-18,2-Stroke,F,Colin Schreiber,1:03.783,1:02.448,1:02.916,1:02.864,1:03.198,1:02.558,1:03.032,1:02.998,1:03.334,1:03.423,,,,
Round 6,2025-10-18,2-Stroke,F,Curtis Ziegler,1:10.407,1:09.614,1:08.090,1:08.666,1:07.574,1:08.261,1:07.989,1:07.541,1:08.604,,,,,
